CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE
Residential,1,BRE,BRENTWOOD,NORTHWEST,ESTABLISHED,1960s/1970s
Residential,1,SCA,SCARBORO,CENTRE,ESTABLISHED,INNER CITY
Residential,1,POI,POINT MCKAY,CENTRE,ESTABLISHED,1960s/1970s
Residential,1,RUT,RUTLAND PARK,WEST,ESTABLISHED,1950s
Residential,1,RAM,RAMSAY,CENTRE,ESTABLISHED,INNER CITY
Residential,1,MRL,MARLBOROUGH,NORTHEAST,ESTABLISHED,1960s/1970s
Residential,1,MAN,MANCHESTER,CENTRE,ESTABLISHED,EMPLOYMENT
Residential,1,GAG,GARRISON GREEN,WEST,ESTABLISHED,BUILDING OUT
Residential,1,MPK,MARLBOROUGH PARK,NORTHEAST,ESTABLISHED,1960s/1970s
Residential,1,SPR,SPRUCE CLIFF,WEST,ESTABLISHED,1950s
Residential,1,PKL,PARKLAND,SOUTH,ESTABLISHED,1960s/1970s
Residential,1,CAS,CASTLERIDGE,NORTHEAST,ESTABLISHED,1980s/1990s
Residential,1,DAL,DALHOUSIE,NORTHWEST,ESTABLISHED,1960s/1970s
Residential,1,PAL,PALLISER,SOUTH,ESTABLISHED,1960s/1970s
Residential,1,ALB,ALBERT PARK/RADISSON HEIGHTS,EAST,ESTABLISHED,1950s
Residential,1,NGM,NORTH GLENMORE PARK,WEST,ESTABLISHED,1950s
Residential,1,ALT,ALTADORE,CENTRE,ESTABLISHED,INNER CITY
Residential,1,QPK,QUEENS PARK VILLAGE,CENTRE,ESTABLISHED,1950s
Residential,1,CHW,CHARLESWOOD,NORTHWEST,ESTABLISHED,1950s
Residential,1,CED,CEDARBRAE,SOUTH,ESTABLISHED,1960s/1970s
Residential,1,SVO,SILVERADO,SOUTH,DEVELOPING,BUILDING OUT
Residential,1,OPH,OSPREY HILL,WEST,DEVELOPING,2000s
Residential,1,CRM,CRESTMONT,WEST,DEVELOPING,2000s
Residential,1,KCA,KINCORA,NORTH,DEVELOPING,2000s
Residential,1,GRE,GREENWOOD/GREENBRIAR,NORTHWEST,DEVELOPING,1960s/1970s
Residential,1,DNW,DOWNTOWN WEST END,CENTRE,ESTABLISHED,CENTRE CITY
Residential,1,LMR,LOWER MOUNT ROYAL,CENTRE,ESTABLISHED,INNER CITY
Residential,1,BNK,BANKVIEW,CENTRE,ESTABLISHED,INNER CITY
Residential,1,BLN,BELTLINE,CENTRE,ESTABLISHED,CENTRE CITY
Residential,1,HIL,HILLHURST,CENTRE,ESTABLISHED,INNER CITY
Residential,1,SNA,SUNALTA,CENTRE,ESTABLISHED,INNER CITY
Residual Sub Area,4,09Q,09Q,EAST,N/A,OTHER
Industrial,2,STD,STARFIELD,EAST,N/A,EMPLOYMENT
Industrial,2,STE,STARFIELD EAST,EAST,N/A,EMPLOYMENT
Industrial,2,GPE,GREAT PLAINS EAST,EAST,N/A,EMPLOYMENT
Residual Sub Area,4,02E,02E,NORTHWEST,FUTURE,OTHER
Residual Sub Area,4,02C,02C,NORTH,FUTURE,UNDEVELOPED
Residential,1,NOL,NOLAN HILL,NORTH,DEVELOPING,2020s
Residential,1,COV,COVENTRY HILLS,NORTH,COMPLETE,2000s
Residential,1,MDH,MEDICINE HILL,WEST,N/A,2000s
Residential,1,ROY,ROYAL OAK,NORTHWEST,COMPLETE,2010s
Residual Sub Area,4,06A,06A,WEST,FUTURE,UNDEVELOPED
Residual Sub Area,4,13F,13F,SOUTH,FUTURE,UNDEVELOPED
Residual Sub Area,4,01I,01I,WEST,FUTURE,UNDEVELOPED
Residual Sub Area,4,12B,12B,SOUTHEAST,FUTURE,UNDEVELOPED
Residential,1,TAR,TARADALE,NORTHEAST,COMPLETE,2000s
Residential,1,CHV,COUNTRY HILLS VILLAGE,NORTH,COMPLETE,2000s
Residual Sub Area,4,10E,10E,NORTHEAST,FUTURE,UNDEVELOPED
Residual Sub Area,4,13M,13M,SOUTH,FUTURE,UNDEVELOPED
124, -114.056497 50.8582915, -114.0564832 50.8582724, -114.0564712 50.8582639, -114.0564491 50.8582547, -114.0564219 50.8582531, -114.0564083 50.8582484
Residual Sub Area,4,01F,01F,NORTHWEST,FUTURE,UNDEVELOPED
Residual Sub Area,4,06B,06B,WEST,FUTURE,UNDEVELOPED
Residual Sub Area,4,03W,03W,NORTH,FUTURE,OTHER
Residual Sub Area,4,02B,02B,NORTH,FUTURE,UNDEVELOPED
Residual Sub Area,4,02K,02K,NORTH,FUTURE,UNDEVELOPED
Residential,1,EVN,EVANSTON,NORTH,COMPLETE,2010s
Residual Sub Area,4,02L,02L,NORTH,FUTURE,UNDEVELOPED
569976 51.193094, -114.1569924 51.1930954, -114.1569873 51.1930967, -114.1569799 51.1930985, -114.1569644 51.1931029, -114.1569612 51.193104, -114.1569551 51.1931061
Residual Sub Area,4,12J,12J,SOUTHEAST,FUTURE,UNDEVELOPED
Residual Sub Area,4,12C,12C,SOUTHEAST,FUTURE,UNDEVELOPED
Residual Sub Area,4,10D,10D,NORTHEAST,FUTURE,UNDEVELOPED
Residual Sub Area,4,09O,09O,EAST,FUTURE,UNDEVELOPED
Residual Sub Area,4,12A,12A,SOUTHEAST,FUTURE,UNDEVELOPED
Residual Sub Area,4,12L,12L,SOUTHEAST,FUTURE,UNDEVELOPED
Residential,1,CGR,COUGAR RIDGE,WEST,COMPLETE,2000s
Residual Sub Area,4,13C,13C,SOUTH,FUTURE,UNDEVELOPED
Residual Sub Area,4,13E,13E,SOUTH,FUTURE,UNDEVELOPED
Residential,1,ROC,ROCKY RIDGE,NORTHWEST,COMPLETE,2000s
Residential,1,TUS,TUSCANY,NORTHWEST,COMPLETE,2000s
Residual Sub Area,4,05E,05E,NORTHEAST,FUTURE,UNDEVELOPED
Residential,1,CHA,CHAPARRAL,SOUTH,COMPLETE,2010s
Residential,1,NEB,NEW BRIGHTON,SOUTHEAST,COMPLETE,2010s
Residential,1,MCT,MCKENZIE TOWNE,SOUTHEAST,COMPLETE,2010s
Residential,1,PAN,PANORAMA HILLS,NORTH,COMPLETE,2010s
Residual Sub Area,4,13G,13G,SOUTH,FUTURE,UNDEVELOPED
Residential,1,SHW,SHERWOOD,NORTH,COMPLETE,2010s
Residential,1,BRI,BRIDLEWOOD,SOUTH,COMPLETE,2000s
Residual Sub Area,4,13J,13J,SOUTH,FUTURE,UNDEVELOPED
Residual Sub Area,4,12I,12I,SOUTHEAST,FUTURE,UNDEVELOPED
13.9255968 50.8522178, -113.9255412 50.8522175, -113.9254957 50.8522172, -113.9254444 50.8522169, -113.9254033 50.8522161, -113.9253672 50.8522153, -113.9253411 50.852214
Residential,1,EVE,EVERGREEN,SOUTH,COMPLETE,2000s
Residual Sub Area,4,01H,01H,WEST,FUTURE,UNDEVELOPED
Residual Sub Area,4,13A,13A,SOUTH,FUTURE,UNDEVELOPED
Residual Sub Area,4,09P,09P,EAST,FUTURE,UNDEVELOPED
Residual Sub Area,4,06C,06C,WEST,FUTURE,UNDEVELOPED
Residual Sub Area,4,05F,05F,NORTHEAST,FUTURE,UNDEVELOPED
Residential,1,AUB,AUBURN BAY,SOUTHEAST,COMPLETE,BUILDING OUT
Residual Sub Area,4,01C,01C,WEST,FUTURE,OTHER
Residential,1,MAF,MAYFAIR,CENTRE,ESTABLISHED,1950s
Industrial,2,MNI,MANCHESTER INDUSTRIAL,CENTRE,N/A,EMPLOYMENT
Industrial,2,FVI,FAIRVIEW INDUSTRIAL,SOUTH,N/A,EMPLOYMENT
Industrial,2,BUR,BURNS INDUSTRIAL,CENTRE,N/A,EMPLOYMENT
Residential,1,EAG,EAGLE RIDGE,SOUTH,ESTABLISHED,1960s/1970s
Major Park,3,GPK,GLENMORE PARK,SOUTH,N/A,PARKS
Residential,1,MEA,MEADOWLARK PARK,CENTRE,ESTABLISHED,1950s
Residential,1,KEL,KELVIN GROVE,SOUTH,ESTABLISHED,1960s/1970s
Residential,1,KIN,KINGSLAND,SOUTH,ESTABLISHED,1950s
